Author,Comment,Sentiment
@dipsongmroffical,WAHT A TRAILER AMAZING,Positive
,SUPER BLOCKBUSTER ,Positive
@sandipghosh6612,It's not a movie a package of goosebumps  villian ,Neutral
@SUDIPBASNET10,2:08 WTF pure Goosebumps ️,Negative
@GYFMOVIEREVIEW,Blockbuster cinematic experience ,Neutral
@__PrabhasFan,Bagheera Nothing Front Of Salaar ,Neutral
,22 दिसंबर को बहुत बड़ा धमाका होने वाला है सलार मूवी का ,Neutral
@aryanpratapsinghchauhan,It will cross all records of Prabhas ,Neutral
@adarshsingh9137,The whole bgm ,Positive
@jithugorge,"For me ,this movie looks like a blend of Saaho and KGF from the trailer .Looks like mafia war in a fictional Middle East country in Saaho transplanted to another universal theme and template and colour tone of KGF..If a movie like Animal could shatter records ,then this movie surely does have the capability even if the story line is an old formulaic one .With all these scepticism, I wish all the best for Salaar.Hope cine goers get a long-lasting cinematic experience",Positive
@kaka12369,When kgf makers enters into the war Other film makers just ran away from the field....Never ever mess with KGF makers. ..   ,Negative
@guukhano,"IT'S NOT A TRAILER, IT'S BLOODY PURE GOOSEBUMPS ",Negative
@onlybodyshot0,Almost seeing 100 times everytime it's give me pure goosebumps.,Positive
@rafeenaashik2035,Waiting to see prithviraj,Neutral
@royallionsproductions,Goosebumps...... ,Neutral
@Samir_ff_123,Goosebumps,Neutral
@actor.-.,"THANK YOU GUYS FOR YOUR EXTRAORDINARY SUPPORT, KEEP ENJOING ",Positive
@KhandakarOfficial,Awesome  trailer...  Mind blowing ️️️,Positive
@AdityaSinghhhh7,Goosebumps ,Neutral
@ayushdey1875,This BGM is totally unique and masterpiece ️...... This should be the iconic BGM of the movie ️,Positive
@eijahkristen4289,2:19 Goosebumps .,Neutral
@dhanwindersinghrollno48non46,"Prabhas + Prithviraj + Prashant = Deadly Trio ️
Goosebumps ",Negative
@abhimankishan9048,0nly Goosebumps  ,Neutral
@bikashtimung2733,"Goosebumps 
Blockbuster ",Neutral
@p.d.6288,THE TRAILER SEEMS QUITE PROMISING...EVERY BIT OF IT GIVES YOU GOOSEBUMPS!,Neutral
,KGF 2.O loaded ,Neutral
@user-wz5rh3ds7i,Next Level ,Neutral
@syedrazaulkarim5687,Goosebumps Overloded ,Neutral
@prafuljadhav102,Super powerful megastar Prabhas ,Positive
@m_k10522,After prabhas' entry.. Only goosebumps are here,Neutral
@rohankanhai4675,This film will definitely be a blockbuster...,Neutral
@akib289,Prashant Neel is simply brilliant. Salaar is not made to be a hit instead It's made to make history ,Positive
@Raju_official46,It`s not a trailer it's pure goosebumps ,Positive
@sai9841,SALAAR IS COMING,Neutral
@Mr.DoreamonNobita,Goosbumbs Overloaded,Neutral
@prashantsingh-is2rf,"This time, not Prabhas but Prashant Neel makes me excited to watch this trailer after Rajamauli he's a genius and plans something big.....looking forward to watching Salaar being a fan of Prashant Neel",Positive
@BHB03,"Prabhas is not simply acting,he is just living in that character.  Pure goosebumps overloaded ",Positive
@imsankalpr,Now this is what we need...,Neutral
@Gulabiofficial-uo1kg,Goosebump ,Neutral
@bikramsah184,prabhash is going to blast in theaters,Neutral
@AmazingVideo-si4ch,Goosebumps,Neutral
@user-xj2qs3bm2i,Pure goosebumps,Positive
@unique_reeshi1792,"IT'S NOT A TRAILER, IT'S BLOODY PURE GOOSEBUMPS ️",Negative
@archanameshram7436,"I will definitely watch this masterpeice for Prithviraj sukumaran..
He is my favorite...either as a hero or a villain...",Neutral
@faizaankhan486,That Damnnn BGM . Specially the first half one of the trailer and the direction the acting the cinematography just ......,Positive
@kazukafunamikaze520,The haters in comment section are getting jelous cause salaar movie getting more vibes then thier fav actor movie,Positive
@Sabin_Khadka,I am 20 times watch this trailer literally goosebumps ,Neutral
@farhanalimolla2424,Any one remember the kgf guy???goosebumps indeed!!,Neutral
@allmovieworlds1772,Same goosebumps same voice same roar  ... Just  Love from Bangladesh 🇧🇩,Positive
@AnantMi2004,This is GAME CHANGER .... AS EXPECTED FROM THE LEGENDARY PRASHANT NEEL ,Positive
@hanamantvibhuti9527,King of Indian cinema Rebel star prabhas ,Neutral
@Pardeepsingh-mr3iz,02:08 is a masterpiece sound  ,Positive
@Alone__DK_,"तहलका मचा daga bhai  ,I 'm waiting for this movie ",Neutral
,Prabhash fans,Neutral
@ProsperityPulse_8422,"absolute goosebumps..... Prabhas acting, look is just wow.., atmosphere is brilliant.. ",Positive
@Devilofficial275,Goosebumps,Neutral
@opgameryt3965,Prabhas fans ready ho jao ,Positive
@stmmobile1504,Goosebumps ️️,Neutral
@sai9841,SALAAR IS COMING,Neutral
@SoosiWizard,"0% Ego

0% Attitude

100% Honest

100% Hard work and dedication",Positive
@shaikhafeez2609,Prabhas looks better than last movies but the main highlight his dubbing improved a lot in hindi,Positive
@babitayadav416,2:05 my favorite dialog,Positive
@dhananjoykumar543,"Salaar not a movie
This is a fire 
Goosebumps+ Goosebumps= Salaar",Neutral
@aishwaryafoodrecipes,World wide new record ,Positive
@user-sq8vt3bq7s,"It's Not A Trailer, it's PURE GOOSEBUMPS ",Positive
@filmindustry3031,Pure goesbumps ,Positive
@motivation_center_07,Prabhas is back on real style ,Positive
@siddharthsingh4398,Each franchise of Prashant Neel sir gets better with time....just like wine!!!!,Positive
@Raviyadav-rf3hw,Blockbuster movie salaar,Neutral
@FACTHOW1,3:30 Goosebumps Scene ,Neutral
@iasbabusahab6276,Masterpiece.....,Neutral
@__PrabhasFan,1.4M LIKES COMING ,Neutral
@Navraaj-Singh_,Just imagine a rocky bhai cameo in the movie           It would be ,Neutral
@Yadavji_Anime-studio,Super hit,Positive
@LEGENDrk47,"It's not a trailer , it's pure Goosebumps ",Positive
@Hshakya,Goosebumps ,Neutral
@faiyazshaikh6959,This song is a pure masterpiece...clearly giving kaise hua vibes ,Positive
@rajatarora13,"Behind KGF - Its Prashant Neel 
Behind Salaar - He is Again 
.. Big Bigger Blockbuster",Negative
@ANILKUMAR-of3fe,Full goosebumps ,Positive
@KINGBOYS-fx7yf,More than 4 days I so excited ,Positive
@tarekzamil8952,"It's not just a trailer, it's bloody Pure Goosebumps",Negative
@aryabhaskarclass8brollno125,The trailer is mind blowing ,Neutral
@ferociousbeastgaming3121,"Just watch Uggram, then come and watch this trailer again, the goosebumps will be like infinity.
You will just get a feeling that this might be Prashant Neel's best yet movie to be released.
If the dinasaur is really a T-rex fighting Tigers in this movie -  according to our expectations, then in Part two he might kill a Mosasaurus which will just cause a Volcano conquering the whole of the Movie Industry",Positive
@AdhratiHindiFilms,Can’t wait to watch!,Neutral
@raftaaryt22,No movie can beat Dunki ,Neutral
@kushwaharishu338,WHO IS HERE AFTER NEW TRAILER OF SALAAR ️,Positive
@mohitsisodiyaji4509,3:15 Pure goosebumps ,Positive
@rajnikantrb,Returns Of Prabhas...️,Neutral
@arpitbahuguna413,"Masterpiece trailer 
This time definitely prabhas will",Neutral
@amleshkumar3602,verynice,Neutral
@siddarthgowda2302,Prabhas raju is born for making history ,Neutral
@rinamondal2582,My favourite hero prabhas ️️,Neutral
@gurpreetgaming8969,"It's not just a Trailer,It's Pure GOOSEBUMPS ",Positive
@adityaff95073,Only 90's and 5000's kids can understand how much we love Prabhas sir ,Positive
@subscribe_this_channel__,the theatre experience of salar movie will surely give us goosebumps,Positive
@ASHOKKUMAR-ni3ix,FEELING LIKE A KGF PART.1,Neutral
,Gooooosebumps Overloaded ,Neutral
@limitedpiece,Goosebumps is a small word for this ,Negative
@ActorPrabhas11,"THANK YOU DARLING'S FOR SUPPORT, KEEP ENJOYING!",Positive
@Satish-md1vm,Goosebumps @3:36,Neutral
@xmsyz447,"I don't know why some people hate this movie but I definitely say this movie will also based on such story that all people get emotional and this movie gives a positive message like kgf gives Mother's feeling i love Prasanth neel's direction, and story writing salute to Whole Salaar and Kgf Team for spreading good message ",Positive
@Kunals69,"It's Not A Trailer, It's PURE GOOSEBUMPS ",Positive
@theideasfact411,"It's Not A Trailer, it's PURE GOOSEBUMPS ️",Positive
@technodot6460,"Luckily I was listening to the trailer on home theater in a  close room, believe me all the beat and voice literally it is a pure goosebumps",Positive
@deelnawazkhan5224,2:32 Goosebumps,Neutral
@user-sq8vt3bq7s,"It's Not JUST A Trailer, it's PURE GOOSEBUMPS ",Positive
@Ayush0923,Yeh hai Indian cinema ka future  pure goosebumps,Positive
,"Goosebumps 
Waiting ️",Neutral
@srockmaworld,This trailer give me goosebumps ,Neutral
@shaiksuniha8461,Goosebumps ,Neutral
@gautamRDX541,"It's Not A Trailer, It's PURE GOOSEBUMPS",Positive
@palbalar1518,3:22 dialogue is goosebumps ,Neutral
,I Love This Trailer   Good Work Salaar Team,Positive
@durgeshbhai6041-oe6vx,"It's Not A Trailer, it's PURE GOOSEBUMPS ",Positive
@SRR83,No one can beat the dialogue of Indian cinemas ,Neutral
@ankitgupte913,02:30 - 02:43 Best dialogue ,Positive
@officialrohitkarnwal4100,"It's Not A trailer, it's PURE GOOSEBUMPS ",Positive
@ankurtiwari1951,Goosebumps is a small word for salaar,Negative
,What a Thriller!!! Prabhas at Top! Wait Beginns,Positive
@kulanatakri9592,Goosebumps guaranteed ,Neutral
@rajeshnayak9629,gossebump ,Neutral
@maheshmehar5397,It's not a trailer it's pure GOOSEBUMPS ,Positive
@sweetyplk,"SALAR= ""Is about true friendship 
Friendship is a emotion
No blood relationship
Stil they will always with us as supportive piller,",Positive
,Kya baat h prabhas ,Neutral
@ChefHameedaskitchen,"It'nota Trailer. It,s Pure GOOSEBUMPS",Positive
@Cristiano_Ronaldo_865,"I have never experienced more Goosebumps than this 

I am stunned ",Positive
@Vijay_kumar_2343,1:43 goosebumps ,Neutral
@addictedguy2523,It's not a trailer  it's pure goobumps,Positive
@Rishi_03,This is much better than first trailer that's we want from darling prabhas garu ,Positive
,DIEHARD FANS OF PRABOSS,Neutral
@AnilKumar-sr9nc,Prabhas entry totally goosebumps.,Neutral
@crawlerzwhite,"Despite their strong bond, the thought of them turning into each other's enemies is truly heart-wrenching",Positive
@FF-qz4nv,Goosebumps ,Neutral
@Ramkumar-jz7eo,"It's a trailer, it's pure goosebumps.
Picture toh avi baaki hain",Positive
@motivation_center_07,"Goooooosebumps overoverloaded 


Prabhas fan like here ",Neutral
@yogesh_13,"2:10 that scene 
Literally goosebumps ",Neutral
@shokeyjan1813,Prashant Neel sir will never disappoint us,Neutral
@mohdsanaullah8793, GOOSEBUMPS overloaded,Neutral
@__PrabhasFan,DIE HARD FAN OF PRABHAS ,Negative
@khilji143,"Goosebumps  2:21

0% ego

0% attitude

100% Genuine person",Positive
@dipsongmroffical,WAHT A TRAILER AMAZING,Positive
,SUPER BLOCKBUSTER ,Positive
@sandipghosh6612,It's not a movie a package of goosebumps  villian ,Neutral
@SUDIPBASNET10,2:08 WTF pure Goosebumps ️,Negative
@GYFMOVIEREVIEW,Blockbuster cinematic experience ,Neutral
@__PrabhasFan,Bagheera Nothing Front Of Salaar ,Neutral
,22 दिसंबर को बहुत बड़ा धमाका होने वाला है सलार मूवी का ,Neutral
@aryanpratapsinghchauhan,It will cross all records of Prabhas ,Neutral
@adarshsingh9137,The whole bgm ,Positive
@jithugorge,"For me ,this movie looks like a blend of Saaho and KGF from the trailer .Looks like mafia war in a fictional Middle East country in Saaho transplanted to another universal theme and template and colour tone of KGF..If a movie like Animal could shatter records ,then this movie surely does have the capability even if the story line is an old formulaic one .With all these scepticism, I wish all the best for Salaar.Hope cine goers get a long-lasting cinematic experience",Positive
@kaka12369,When kgf makers enters into the war Other film makers just ran away from the field....Never ever mess with KGF makers. ..   ,Negative
@guukhano,"IT'S NOT A TRAILER, IT'S BLOODY PURE GOOSEBUMPS ",Negative
@onlybodyshot0,Almost seeing 100 times everytime it's give me pure goosebumps.,Positive
@rafeenaashik2035,Waiting to see prithviraj,Neutral
@royallionsproductions,Goosebumps...... ,Neutral
@Samir_ff_123,Goosebumps,Neutral
@actor.-.,"THANK YOU GUYS FOR YOUR EXTRAORDINARY SUPPORT, KEEP ENJOING ",Positive
@KhandakarOfficial,Awesome  trailer...  Mind blowing ️️️,Positive
@AdityaSinghhhh7,Goosebumps ,Neutral
@ayushdey1875,This BGM is totally unique and masterpiece ️...... This should be the iconic BGM of the movie ️,Positive
@eijahkristen4289,2:19 Goosebumps .,Neutral
@dhanwindersinghrollno48non46,"Prabhas + Prithviraj + Prashant = Deadly Trio ️
Goosebumps ",Negative
@abhimankishan9048,0nly Goosebumps  ,Neutral
@bikashtimung2733,"Goosebumps 
Blockbuster ",Neutral
@p.d.6288,THE TRAILER SEEMS QUITE PROMISING...EVERY BIT OF IT GIVES YOU GOOSEBUMPS!,Neutral
,KGF 2.O loaded ,Neutral
@user-wz5rh3ds7i,Next Level ,Neutral
@syedrazaulkarim5687,Goosebumps Overloded ,Neutral
@prafuljadhav102,Super powerful megastar Prabhas ,Positive
@m_k10522,After prabhas' entry.. Only goosebumps are here,Neutral
@rohankanhai4675,This film will definitely be a blockbuster...,Neutral
@akib289,Prashant Neel is simply brilliant. Salaar is not made to be a hit instead It's made to make history ,Positive
@Raju_official46,It`s not a trailer it's pure goosebumps ,Positive
@sai9841,SALAAR IS COMING,Neutral
@Mr.DoreamonNobita,Goosbumbs Overloaded,Neutral
@prashantsingh-is2rf,"This time, not Prabhas but Prashant Neel makes me excited to watch this trailer after Rajamauli he's a genius and plans something big.....looking forward to watching Salaar being a fan of Prashant Neel",Positive
@BHB03,"Prabhas is not simply acting,he is just living in that character.  Pure goosebumps overloaded ",Positive
@imsankalpr,Now this is what we need...,Neutral
@Gulabiofficial-uo1kg,Goosebump ,Neutral
@bikramsah184,prabhash is going to blast in theaters,Neutral
@AmazingVideo-si4ch,Goosebumps,Neutral
@user-xj2qs3bm2i,Pure goosebumps,Positive
@unique_reeshi1792,"IT'S NOT A TRAILER, IT'S BLOODY PURE GOOSEBUMPS ️",Negative
@archanameshram7436,"I will definitely watch this masterpeice for Prithviraj sukumaran..
He is my favorite...either as a hero or a villain...",Neutral
@faizaankhan486,That Damnnn BGM . Specially the first half one of the trailer and the direction the acting the cinematography just ......,Positive
@kazukafunamikaze520,The haters in comment section are getting jelous cause salaar movie getting more vibes then thier fav actor movie,Positive
@Sabin_Khadka,I am 20 times watch this trailer literally goosebumps ,Neutral
@farhanalimolla2424,Any one remember the kgf guy???goosebumps indeed!!,Neutral
@allmovieworlds1772,Same goosebumps same voice same roar  ... Just  Love from Bangladesh 🇧🇩,Positive
@AnantMi2004,This is GAME CHANGER .... AS EXPECTED FROM THE LEGENDARY PRASHANT NEEL ,Positive
@hanamantvibhuti9527,King of Indian cinema Rebel star prabhas ,Neutral
@Pardeepsingh-mr3iz,02:08 is a masterpiece sound  ,Positive
@Alone__DK_,"तहलका मचा daga bhai  ,I 'm waiting for this movie ",Neutral
,Prabhash fans,Neutral
@ProsperityPulse_8422,"absolute goosebumps..... Prabhas acting, look is just wow.., atmosphere is brilliant.. ",Positive
@Devilofficial275,Goosebumps,Neutral
@opgameryt3965,Prabhas fans ready ho jao ,Positive
@stmmobile1504,Goosebumps ️️,Neutral
@sai9841,SALAAR IS COMING,Neutral
@SoosiWizard,"0% Ego

0% Attitude

100% Honest

100% Hard work and dedication",Positive
@shaikhafeez2609,Prabhas looks better than last movies but the main highlight his dubbing improved a lot in hindi,Positive
@babitayadav416,2:05 my favorite dialog,Positive
@dhananjoykumar543,"Salaar not a movie
This is a fire 
Goosebumps+ Goosebumps= Salaar",Neutral
@aishwaryafoodrecipes,World wide new record ,Positive
@user-sq8vt3bq7s,"It's Not A Trailer, it's PURE GOOSEBUMPS ",Positive
@filmindustry3031,Pure goesbumps ,Positive
@motivation_center_07,Prabhas is back on real style ,Positive
@siddharthsingh4398,Each franchise of Prashant Neel sir gets better with time....just like wine!!!!,Positive
@Raviyadav-rf3hw,Blockbuster movie salaar,Neutral
@FACTHOW1,3:30 Goosebumps Scene ,Neutral
@iasbabusahab6276,Masterpiece.....,Neutral
@__PrabhasFan,1.4M LIKES COMING ,Neutral
@Navraaj-Singh_,Just imagine a rocky bhai cameo in the movie           It would be ,Neutral
@Yadavji_Anime-studio,Super hit,Positive
@LEGENDrk47,"It's not a trailer , it's pure Goosebumps ",Positive
@Hshakya,Goosebumps ,Neutral
@faiyazshaikh6959,This song is a pure masterpiece...clearly giving kaise hua vibes ,Positive
@rajatarora13,"Behind KGF - Its Prashant Neel 
Behind Salaar - He is Again 
.. Big Bigger Blockbuster",Negative
@ANILKUMAR-of3fe,Full goosebumps ,Positive
@KINGBOYS-fx7yf,More than 4 days I so excited ,Positive
@tarekzamil8952,"It's not just a trailer, it's bloody Pure Goosebumps",Negative
@aryabhaskarclass8brollno125,The trailer is mind blowing ,Neutral
@ferociousbeastgaming3121,"Just watch Uggram, then come and watch this trailer again, the goosebumps will be like infinity.
You will just get a feeling that this might be Prashant Neel's best yet movie to be released.
If the dinasaur is really a T-rex fighting Tigers in this movie -  according to our expectations, then in Part two he might kill a Mosasaurus which will just cause a Volcano conquering the whole of the Movie Industry",Positive
@AdhratiHindiFilms,Can’t wait to watch!,Neutral
@raftaaryt22,No movie can beat Dunki ,Neutral
@kushwaharishu338,WHO IS HERE AFTER NEW TRAILER OF SALAAR ️,Positive
@mohitsisodiyaji4509,3:15 Pure goosebumps ,Positive
@rajnikantrb,Returns Of Prabhas...️,Neutral
@arpitbahuguna413,"Masterpiece trailer 
This time definitely prabhas will",Neutral
@amleshkumar3602,verynice,Neutral
@siddarthgowda2302,Prabhas raju is born for making history ,Neutral
@rinamondal2582,My favourite hero prabhas ️️,Neutral
@gurpreetgaming8969,"It's not just a Trailer,It's Pure GOOSEBUMPS ",Positive
@adityaff95073,Only 90's and 5000's kids can understand how much we love Prabhas sir ,Positive
@subscribe_this_channel__,the theatre experience of salar movie will surely give us goosebumps,Positive
@ASHOKKUMAR-ni3ix,FEELING LIKE A KGF PART.1,Neutral
@Shashankhegde91,"This very much reminds of a kannada movie called Ugram, watch it if you can, it's absolutely amazing, maybe this movie is loosely based on the same story. But nevertheless the trailer is amazing ",Positive
@shawonrocks007,goose bumps overloaded,Neutral
@jatrutbah,Mega blockbuster ,Neutral
@RizwanMukhtar3,Goosebumps Granted,Neutral
@vaibhavsarode6362,Goosebumps ,Neutral
@anirudhkoushikrachakonda2056,What a totally Goodbumps trailer bhaie wow Prabhas totally revenge mood  ,Positive
@MohitPatelm,Prabhas ,Neutral
@vivekkumar-rc4uu,Prabhas fans ... 100% goosebumps,Neutral
@HassanAlli-tm2lt,"THANK YOU GUYS FOR YOUR AMAZING SUPPORT, KEEP ENJOYING ! . OK",Positive
@RajeshMandal-zb8um,Supar movie,Neutral
@HansrajTravelTales,"It's not a trailer it's a pure Goosebumps
overloaded ",Positive
@kenl8915,Time to rock the box office ,Neutral
@video4you3,And this is what you called a Film ,Neutral
@MohitPatelm,Salaar waiting ,Neutral
@ajaydahit1,Goosebumps are back after a lang time,Neutral
@shehryarahmad9748,This story Can Easily Turn into a Good TV series and it will be a huge success,Positive
@natural____5252,"This isn't just a trailer, it's bloody pure goosebumps",Negative
@samirpanditchhetri,After so long we gonna get our darling prabhas back in action ,Positive
@yourmayank,It is not a Trailer It is full off goosebumps,Positive
@Bobschannelz,"Who came here after SALAAR second Trailer 

Salaar is going to...make history and change the indian cinema forever...",Neutral
@pranchalmehra8202,Can't wait to watch ,Neutral
@PinjiraKhatun-kj8ce,I am waiting ,Neutral
@ablemon251,"It's not just a trailer, it’s bloody pure Goosebumps",Negative
@dev.therock12,"It's simply breathtaking time to which the intricate storytelling paired with powerful dialogue has surely raised the bar high..
  Looking forward to an epic cinematic experience.. Love U Prabhas sir ",Positive
@LEGENDGAMING-vh2ip,Prabhas+Prithviraj duo=Blast,Neutral
@user-qr7cn1qc2n,Superstar Yash has also acted in this movie ,Neutral
@SauravThakur-xm1um,"Prabhas is widely praised for his versatile performances in movies, particularly in the blockbuster ""Baahubali"" series.And Now time for #saalar  His dedication to his roles, charismatic screen presence, and ability to connect with audiences have contributed significantly to the success of his films. Fans appreciate his commitment to delivering compelling characters, making him a respected figure in the Indian film industry.",Positive
@avek3602,Goosebumps ,Neutral
@theavmking5994,I think this movie has turned out to be the best movie of 2023. I am very excited to watch it.,Positive
@sumanbhowmick9964,Trailer look amazing..... For Prashanth neel,Positive
@suhelahmad4741,"Well, that's gonna be a blast",Neutral
@BharathKumar-wl5mi,This is what we were expecting,Neutral
,Simply breathtaking! The intricate storytelling paired with powerful dialogue has surely raised the bar high. Looking forward to an epic cinematic experience.,Positive
@mithun9696,I love this trailer  good work salaar  team ,Positive
@mandeepsingh11262,Dunki + salaar = super December ,Positive
@Vivek_Rajvanshi152,Super duper blockbuster salaar movie ,Positive
@rodan..8651,Pure Goosebumps,Positive
@akshay3401,"Prithviraj Sukumaran has Dubbed himself in Malayalam, Tamil, Telugu, Hindi and Kannada Languages in this film, he did not agree to use a Dubbing Artist.

Dedication for his film ",Neutral
